label,scope,registered_on,author,why,hypothesis,scored_on,outcome
bar_updn,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bar_updn@allow_short=0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bar_updn@lookback=1,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
bar_updn@lookback=3,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center@period=5.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center@period=10.0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
pivot_center@allow_short=0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
range_filter,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
range_filter@allow_short=0,us_stocks/1d,2026-08-18,conversion batch 2026-08-18,converted from a third-party TradingView Pine script / freqtrade strategy / notebook supplied 2026-08-18; never tested on this repo's universe or against a matched benchmark,"null: these are retail-forum rules fitted on one symbol and one timeframe with no benchmark, so the prior is that none clears the four gates and most lose to buy-and-hold before costs",2026-08-18,"null as hypothesised: 0 of 4 gates, IR below the noise ceiling and below an exposure-matched random control; book-level cash-matched excess CAGR negative on every rule"
